plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,100+0,4,100,0
102,1,100+60,6,100,60
103,1,200+30,8,200,30
104,1,200+0,7,200,0
105,1,0+0,1,0,0
106,1,0+60,3,0,60
107,1,100+30,5,100,30
108,1,0+30,2,0,30
109,1,200+60,9,200,60
201,2,200+0,7,200,0
202,2,100+0,4,100,0
203,2,200+30,8,200,30
204,2,0+30,2,0,30
205,2,0+0,1,0,0
206,2,100+60,6,100,60
207,2,0+60,3,0,60
208,2,100+30,5,100,30
209,2,200+60,9,200,60
301,3,100+30,5,100,30
302,3,0+0,1,0,0
303,3,100+60,6,100,60
304,3,100+0,4,100,0
305,3,200+30,8,200,30
306,3,0+60,3,0,60
307,3,200+60,9,200,60
308,3,0+30,2,0,30
309,3,200+0,7,200,0
401,4,100+0,4,100,0
402,4,100+30,5,100,30
403,4,100+60,6,100,60
404,4,0+0,1,0,0
405,4,200+60,9,200,60
406,4,200+30,8,200,30
407,4,200+0,7,200,0
408,4,0+30,2,0,30
409,4,0+60,3,0,60
